debt_to_sal_bygroup,avo,avot
0%,0.43333333333333335,0.12222222222222222
0%-100%,0.3228346456692913,0.11811023622047244
100-250%,0.3448275862068966,0.1724137931034483
250,0.2830188679245283,0.1509433962264151
