debt_bygroup,avo,avot
0,0.4117647058823529,0.11764705882352941
0-50K,0.3181818181818182,0.12878787878787878
50K-100K,0.2857142857142857,0.19047619047619047
>100K,0.3142857142857143,0.14285714285714285
